PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,DOI,Prediction,Segmentation,Radiomics Constrast/Texture,Classification,Super Resolution,Clustering,Data Reduction,Data Integration,ML_Task,Modality,Species,In Vivo or Ex Vivo,Model,Accuracy
12610302,Homo erectus calvarium from the Pleistocene of Java,"Baba H, Aziz F, Kaifu Y, Suwa G, Kono RT, Jacob T.",Science. 2003 Feb 28;299(5611):1384-8. doi: 10.1126/science.1081676.,Baba H,Science,2003,3/1/03,10.1126/science.1081676,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
14667134,Architectural measures of the cancellous bone of the mandibular condyle identified by principal components analysis,"Giesen EB, Ding M, Dalstra M, van Eijden TM.",Calcif Tissue Int. 2003 Sep;73(3):225-31. doi: 10.1007/s00223-002-0002-4.,Giesen EB,Calcif Tissue Int,2003,12/12/03,10.1007/s00223-002-0002-4,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
16510968,Ultrasonic characterization of human trabecular bone microstructure,"Hakulinen MA, Day JS, Töyräs J, Weinans H, Jurvelin JS.",Phys Med Biol. 2006 Mar 21;51(6):1633-48. doi: 10.1088/0031-9155/51/6/019. Epub 2006 Mar 1.,Hakulinen MA,Phys Med Biol,2006,3/3/06,10.1088/0031-9155/51/6/019,,,,,,,Yes,,Data Reduction,microCT,human,Ex Vivo,Principal Component Analysis,
18665795,High-resolution pQCT analysis at the distal radius and tibia discriminates patients with recent wrist and femoral neck fractures,"Vico L, Zouch M, Amirouche A, Frère D, Laroche N, Koller B, Laib A, Thomas T, Alexandre C.",J Bone Miner Res. 2008 Nov;23(11):1741-50. doi: 10.1359/jbmr.080704.,Vico L,J Bone Miner Res,2008,7/31/08,10.1359/jbmr.080704,,,,,,,Yes,,Data Reduction,HRpQCT,Human,Ex Vivo,Principal Component Analysis,0.8
19013264,"Micro-computed tomography assessment of fracture healing: relationships among callus structure, composition, and mechanical function","Morgan EF, Mason ZD, Chien KB, Pfeiffer AJ, Barnes GL, Einhorn TA, Gerstenfeld LC.",Bone. 2009 Feb;44(2):335-44. doi: 10.1016/j.bone.2008.10.039. Epub 2008 Oct 25.,Morgan EF,Bone,2009,11/18/08,10.1016/j.bone.2008.10.039,Yes,,,,,,Yes,,Data Reduction; Prediction,microCT,Mouse,Ex Vivo,Principal Component Analysis; Stepwise Regression,0.97
19081191,"Unravelling the relationship between age, nociception and joint destruction in naturally occurring osteoarthritis of Dunkin Hartley guinea pigs","McDougall JJ, Andruski B, Schuelert N, Hallgrímsson B, Matyas JR.",Pain. 2009 Feb;141(3):222-232. doi: 10.1016/j.pain.2008.10.013. Epub 2008 Dec 9.,McDougall JJ,Pain,2009,12/17/08,10.1016/j.pain.2008.10.013,,,,,,,Yes,,Data Reduction,microCT,Guinea Pig,Ex Vivo,Categorical Principal Component Analysis; Principal Component Analysis,Not Reported
20044044,Finite element analysis performed on radius and tibia HR-pQCT images and fragility fractures at all sites in postmenopausal women,"Vilayphiou N, Boutroy S, Sornay-Rendu E, Van Rietbergen B, Munoz F, Delmas PD, Chapurlat R.",Bone. 2010 Apr;46(4):1030-7. doi: 10.1016/j.bone.2009.12.015. Epub 2010 Jan 4.,Vilayphiou N,Bone,2010,1/2/10,10.1016/j.bone.2009.12.015,,,,Yes,,,Yes into ML,,Data Reduction; Classification,HRpQCT,Human,In Vivo,Principal Component Analysis; Conditional Logistic Regression,0.77
20719359,Mandibular molar root morphology in Neanderthals and Late Pleistocene and recent Homo sapiens,"Kupczik K, Hublin JJ.",J Hum Evol. 2010 Nov;59(5):525-41. doi: 10.1016/j.jhevol.2010.05.009. Epub 2010 Aug 16.,Kupczik K,J Hum Evol,2010,8/20/10,10.1016/j.jhevol.2010.05.009,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
21381487,Validation of a morphometric reconstruction technique applied to a juvenile pelvis,"Watson PJ, O'Higgins P, Fagan MJ, Dobson CA.",Proc Inst Mech Eng H. 2011 Jan;225(1):48-57. doi: 10.1243/09544119JEIM810.,Watson PJ,Proc Inst Mech Eng H,2011,3/9/11,10.1243/09544119JEIM810,,,,,,,Yes,,Data Reduction,HRpQCT,Human,Ex Vivo,Principal Component Analysis,
21541999,Finite element analysis performed on radius and tibia HR-pQCT images and fragility fractures at all sites in men,"Vilayphiou N, Boutroy S, Szulc P, van Rietbergen B, Munoz F, Delmas PD, Chapurlat R.",J Bone Miner Res. 2011 May;26(5):965-73. doi: 10.1002/jbmr.297.,Vilayphiou N,J Bone Miner Res,2011,5/5/11,10.1002/jbmr.297,,,,Yes,,,Yes into ML,,Data Reduction; Classification,HRpQCT,Human,In Vivo,Principal Component Analysis; Conditional Logistic Regression,0.83
