PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,dataset,duplicate_count,duplicate
36328744,Single-cell RNA sequencing analysis reveals the relationship of bone marrow and osteopenia in STZ-induced type 1 diabetic mice,"Zhong J, Mao X, Li H, Shen G, Cao X, He N, Wang J, Xu L, Chen J, Song X, Liu S, Zhang X, Shen Y, Wang LL, Xiang C, Chen YY.",J Adv Res. 2022 Nov;41:145-158. doi: 10.1016/j.jare.2022.01.006. Epub 2022 Jan 21.,Zhong J,J Adv Res,2022,2022/11/03,PMC9637485,,10.1016/j.jare.2022.01.006,"search_01, search_02",2,duplicate
26497626,Resveratrol prevents alveolar bone loss in an experimental rat model of periodontitis,"Bhattarai G, Poudel SB, Kook SH, Lee JC.",Acta Biomater. 2016 Jan;29:398-408. doi: 10.1016/j.actbio.2015.10.031. Epub 2015 Oct 20.,Bhattarai G,Acta Biomater,2016,2015/10/27,,,10.1016/j.actbio.2015.10.031,"search_01, search_02",2,duplicate
32783967,Deep learning for 3D imaging and image analysis in biomineralization research,"Reznikov N, Buss DJ, Provencher B, McKee MD, Piché N.",J Struct Biol. 2020 Oct 1;212(1):107598. doi: 10.1016/j.jsb.2020.107598. Epub 2020 Aug 9.,Reznikov N,J Struct Biol,2020,2020/08/14,,,10.1016/j.jsb.2020.107598,"search_01, search_013, search_014, search_015, search_02, search_020, search_021, search_03",8,duplicate
38385868,Semi-Automated MicroCT Analysis of Bone Anatomy and Mineralization in Mouse Models,"Spoutil F, Dlugosova S, Varga I, Aranaz-Novaliches G, Novosadova V, Prochazkova M, Sedlacek R, Prochazka J.",Curr Protoc. 2024 Feb;4(2):e980. doi: 10.1002/cpz1.980.,Spoutil F,Curr Protoc,2024,2024/02/22,,,10.1002/cpz1.980,"search_01, search_013, search_014, search_015, search_02, search_03",6,duplicate
37387366,PRRX1(+)MSCs Enhance Mandibular Regeneration during Distraction Osteogenesis,"Jiang WD, Zhu PQ, Zhang T, Liao FC, Jiang PP, Zhou N, Wang XD, Huang XP.",J Dent Res. 2023 Aug;102(9):1058-1068. doi: 10.1177/00220345231176522. Epub 2023 Jun 30.,Jiang WD,J Dent Res,2023,2023/06/30,,,10.1177/00220345231176522,"search_01, search_02, search_03",3,duplicate
36327650,Segmentation of trabecular bone microdamage in Xray microCT images using a two-step deep learning method,"Caron R, Londono I, Seoud L, Villemure I.",J Mech Behav Biomed Mater. 2023 Jan;137:105540. doi: 10.1016/j.jmbbm.2022.105540. Epub 2022 Oct 25.,Caron R,J Mech Behav Biomed Mater,2023,2022/11/03,,,10.1016/j.jmbbm.2022.105540,"search_01, search_013, search_014, search_02",4,duplicate
37445896,Sirt6 Activation Ameliorates Inflammatory Bone Loss in Ligature-Induced Periodontitis in Mice,"Lee MJ, Ryu HH, Hwang JW, Kim JR, Cho ES, Choi JK, Moon YJ.",Int J Mol Sci. 2023 Jun 27;24(13):10714. doi: 10.3390/ijms241310714.,Lee MJ,Int J Mol Sci,2023,2023/07/14,PMC10341680,,10.3390/ijms241310714,"search_01, search_02",2,duplicate
34450416,Deep learning approach to assess damage mechanics of bone tissue,"Shen SC, Peña Fernández M, Tozzi G, Buehler MJ.",J Mech Behav Biomed Mater. 2021 Nov;123:104761. doi: 10.1016/j.jmbbm.2021.104761. Epub 2021 Aug 14.,Shen SC,J Mech Behav Biomed Mater,2021,2021/08/27,,,10.1016/j.jmbbm.2021.104761,"search_01, search_013, search_014, search_015, search_02, search_020, search_021, search_03",8,duplicate
35964469,Ensemble learning and test-time augmentation for the segmentation of mineralized cartilage versus bone in high-resolution microCT images,"Léger J, Leyssens L, Kerckhofs G, De Vleeschouwer C.",Comput Biol Med. 2022 Sep;148:105932. doi: 10.1016/j.compbiomed.2022.105932. Epub 2022 Aug 2.,Léger J,Comput Biol Med,2022,2022/08/14,,,10.1016/j.compbiomed.2022.105932,"search_01, search_013, search_014, search_02, search_020",5,duplicate
37166429,Identification and validation of metabolism-related genes signature and immune infiltration landscape of rheumatoid arthritis based on machine learning,"Guo Z, Ma Y, Wang Y, Xiang H, Cui H, Fan Z, Zhu Y, Xing D, Chen B, Tao H, Guo Z, Wu X.",Aging (Albany NY). 2023 May 10;15(9):3807-3825. doi: 10.18632/aging.204714. Epub 2023 May 10.,Guo Z,Aging (Albany NY),2023,2023/05/11,PMC10449312,,10.18632/aging.204714,"search_01, search_013, search_014, search_02",4,duplicate
