PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40654621","Automated Joint Space Detection Improves Bone Segmentation Accuracy","Kenney HM, Lichau D, Blanc R, Schnur L, Bell RD, Ritchlin CT, Schwarz EM, Awad HA, Wood RW.","bioRxiv [Preprint]. 2025 May 6:2025.04.30.651481. doi: 10.1101/2025.04.30.651481.","Kenney HM","bioRxiv","2025","2025/07/14","PMC12247839","","10.1101/2025.04.30.651481"
"40582223","Predicting rat lumbar vertebral failure patterns as synthetic μCT images using a deep convolutional generative adversarial network","Tolgyesi A, Whyne C, Hardisty M.","J Mech Behav Biomed Mater. 2025 Oct;170:107116. doi: 10.1016/j.jmbbm.2025.107116. Epub 2025 Jun 26.","Tolgyesi A","J Mech Behav Biomed Mater","2025","2025/06/29","","","10.1016/j.jmbbm.2025.107116"
"40328110","A high-throughput framework for predicting three-dimensional structural-mechanical relationships of human cranial bones using a deep learning-based method","Guo W, Rezasefat M, Rabey KN, Ouellet S, Westover L, Hogan JD.","J Mech Behav Biomed Mater. 2025 Aug;168:107007. doi: 10.1016/j.jmbbm.2025.107007. Epub 2025 Apr 24.","Guo W","J Mech Behav Biomed Mater","2025","2025/05/06","","","10.1016/j.jmbbm.2025.107007"
"40039905","A Multimodal Transfer Learning Approach for Histopathology and SR-microCT Low-Data Regimes Image Segmentation","Poles I, D'Arnese E, Coggi M, Buccino F, Vergani L, Santambrogio MD.","Annu Int Conf IEEE Eng Med Biol Soc. 2024 Jul;2024:1-4. doi: 10.1109/EMBC53108.2024.10781540.","Poles I","Annu Int Conf IEEE Eng Med Biol Soc","2024","2025/03/05","","","10.1109/EMBC53108.2024.10781540"
"39905914","Segmentation of cortical bone, trabecular bone, and medullary pores from micro-CT images using 2D and 3D deep learning models","Lee AH, Moore JM, Covarrubias BV, Lynch LM.","Anat Rec (Hoboken). 2025 Feb 5. doi: 10.1002/ar.25633. Online ahead of print.","Lee AH","Anat Rec (Hoboken)","2025","2025/02/05","","","10.1002/ar.25633"
"39570395","Reconstructing 3D histological structures using machine learning (artificial intelligence) algorithms","Báskay J, Kivovics M, Pénzes D, Kontsek E, Pesti A, Kiss A, Szócska M, Németh O, Pollner P.","Pathologie (Heidelb). 2024 Nov;45(Suppl 1):67-73. doi: 10.1007/s00292-024-01387-6. Epub 2024 Nov 21.","Báskay J","Pathologie (Heidelb)","2024","2024/11/21","","","10.1007/s00292-024-01387-6"
"38777311","Characterization and quantification of in-vitro equine bone resorption in 3D using μCT and deep learning-aided feature segmentation","Grass DM, Malek G, Taïeb HM, Ittah E, Richard H, Reznikov N, Laverty S.","Bone. 2024 Aug;185:117131. doi: 10.1016/j.bone.2024.117131. Epub 2024 May 20.","Grass DM","Bone","2024","2024/05/22","","","10.1016/j.bone.2024.117131"
"38729290","A reliable deep-learning-based method for alveolar bone quantification using a murine model of periodontitis and micro-computed tomography imaging","Xi R, Ali M, Zhou Y, Tizzano M.","J Dent. 2024 Jul;146:105057. doi: 10.1016/j.jdent.2024.105057. Epub 2024 May 8.","Xi R","J Dent","2024","2024/05/10","PMC11288397","NIHMS2001322","10.1016/j.jdent.2024.105057"
"38398417","Are Artificial Intelligence-Assisted Three-Dimensional Histological Reconstructions Reliable for the Assessment of Trabecular Microarchitecture?","Báskay J, Pénzes D, Kontsek E, Pesti A, Kiss A, Guimarães Carvalho BK, Szócska M, Szabó BT, Dobó-Nagy C, Csete D, Mócsai A, Németh O, Pollner P, Mijiritsky E, Kivovics M.","J Clin Med. 2024 Feb 15;13(4):1106. doi: 10.3390/jcm13041106.","Báskay J","J Clin Med","2024","2024/02/24","PMC10889719","","10.3390/jcm13041106"
"36604534","Automatic segmentation of trabecular and cortical compartments in HR-pQCT images using an embedding-predicting U-Net and morphological post-processing","Neeteson NJ, Besler BA, Whittier DE, Boyd SK.","Sci Rep. 2023 Jan 5;13(1):252. doi: 10.1038/s41598-022-27350-0.","Neeteson NJ","Sci Rep","2023","2023/01/05","PMC9816121","","10.1038/s41598-022-27350-0"
"36402366","Open-source pipeline for automatic segmentation and microstructural analysis of murine knee subchondral bone","Mahdi H, Hardisty M, Fullerton K, Vachhani K, Nam D, Whyne C.","Bone. 2023 Feb;167:116616. doi: 10.1016/j.bone.2022.116616. Epub 2022 Nov 17.","Mahdi H","Bone","2023","2022/11/19","","","10.1016/j.bone.2022.116616"
"36039207","Rule and Neural Network-Based Image Segmentation of Mice Vertebrae Images","Madireddy I, Wu T.","Cureus. 2022 Jul 25;14(7):e27247. doi: 10.7759/cureus.27247. eCollection 2022 Jul.","Madireddy I","Cureus","2022","2022/08/30","PMC9401637","","10.7759/cureus.27247"
"35061600","Automatic contouring of normal tissues with deep learning for preclinical radiation studies","Lappas G, Wolfs CJA, Staut N, Lieuwes NG, Biemans R, van Hoof SJ, Dubois LJ, Verhaegen F.","Phys Med Biol. 2022 Feb 9;67(4). doi: 10.1088/1361-6560/ac4da3.","Lappas G","Phys Med Biol","2022","2022/01/21","","","10.1088/1361-6560/ac4da3"
"34930947","Scaling the U-net: segmentation of biodegradable bone implants in high-resolution synchrotron radiation microtomograms","Baltruschat IM, Ćwieka H, Krüger D, Zeller-Plumhoff B, Schlünzen F, Willumeit-Römer R, Moosmann J, Heuser P.","Sci Rep. 2021 Dec 20;11(1):24237. doi: 10.1038/s41598-021-03542-y.","Baltruschat IM","Sci Rep","2021","2021/12/21","PMC8688506","","10.1038/s41598-021-03542-y"
"33623074","Automatic segmentation of inner ear on CT-scan using auto-context convolutional neural network","Hussain R, Lalande A, Girum KB, Guigou C, Bozorg Grayeli A.","Sci Rep. 2021 Feb 23;11(1):4406. doi: 10.1038/s41598-021-83955-x.","Hussain R","Sci Rep","2021","2021/02/24","PMC7902630","","10.1038/s41598-021-83955-x"
