PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40582223","Predicting rat lumbar vertebral failure patterns as synthetic μCT images using a deep convolutional generative adversarial network","Tolgyesi A, Whyne C, Hardisty M.","J Mech Behav Biomed Mater. 2025 Oct;170:107116. doi: 10.1016/j.jmbbm.2025.107116. Epub 2025 Jun 26.","Tolgyesi A","J Mech Behav Biomed Mater","2025","2025/06/29","","","10.1016/j.jmbbm.2025.107116"
"40395772","Prognostic assessment of osteolytic lesions and mechanical properties of bones bearing breast cancer using neural network and finite element analysis(☆)","Wang S, Chu T, Wasi M, Guerra RM, Yuan X, Wang L.","Mechanobiol Med. 2025 Mar 30;3(2):100130. doi: 10.1016/j.mbm.2025.100130. eCollection 2025 Jun.","Wang S","Mechanobiol Med","2025","2025/05/21","PMC12067881","","10.1016/j.mbm.2025.100130"
"38777311","Characterization and quantification of in-vitro equine bone resorption in 3D using μCT and deep learning-aided feature segmentation","Grass DM, Malek G, Taïeb HM, Ittah E, Richard H, Reznikov N, Laverty S.","Bone. 2024 Aug;185:117131. doi: 10.1016/j.bone.2024.117131. Epub 2024 May 20.","Grass DM","Bone","2024","2024/05/22","","","10.1016/j.bone.2024.117131"
"38182017","Preoperative 3-dimensional computed tomography bone density measures provide objective bone quality classifications for stemless anatomic total shoulder arthroplasty","Ritter D, Denard PJ, Raiss P, Wijdicks CA, Bachmaier S.","J Shoulder Elbow Surg. 2024 Jul;33(7):1503-1511. doi: 10.1016/j.jse.2023.11.005. Epub 2024 Jan 3.","Ritter D","J Shoulder Elbow Surg","2024","2024/01/05","","","10.1016/j.jse.2023.11.005"
"37702738","Food texture and vitamin D influence mouse mandible form and molar roots","Van Ankum EM, Majcher KB, Dolovich AT, Johnston JD, Flegel KP, Boughner JC.","Anat Rec (Hoboken). 2024 Mar;307(3):611-632. doi: 10.1002/ar.25315. Epub 2023 Sep 13.","Van Ankum EM","Anat Rec (Hoboken)","2024","2023/09/13","","","10.1002/ar.25315"
"37295663","Mineral tessellation in mouse enthesis fibrocartilage, Achilles tendon, and Hyp calcifying enthesopathy: A shared 3D mineralization pattern","Buss DJ, Rechav K, Reznikov N, McKee MD.","Bone. 2023 Sep;174:116818. doi: 10.1016/j.bone.2023.116818. Epub 2023 Jun 8.","Buss DJ","Bone","2023","2023/06/09","","","10.1016/j.bone.2023.116818"
"36402366","Open-source pipeline for automatic segmentation and microstructural analysis of murine knee subchondral bone","Mahdi H, Hardisty M, Fullerton K, Vachhani K, Nam D, Whyne C.","Bone. 2023 Feb;167:116616. doi: 10.1016/j.bone.2022.116616. Epub 2022 Nov 17.","Mahdi H","Bone","2023","2022/11/19","","","10.1016/j.bone.2022.116616"
"36359157","Radiomics Modeling of Catastrophic Proximal Sesamoid Bone Fractures in Thoroughbred Racehorses Using μCT","Basran PS, McDonough S, Palmer S, Reesink HL.","Animals (Basel). 2022 Nov 4;12(21):3033. doi: 10.3390/ani12213033.","Basran PS","Animals (Basel)","2022","2022/11/11","PMC9658779","","10.3390/ani12213033"
"36111203","Protective Effect on Bone of Nacre Supplementation in Ovariectomized Rats","Nguyen DK, Laroche N, Vanden-Bossche A, Linossier MT, Thomas M, Peyroche S, Normand M, Bertache-Djenadi Y, Thomas T, Marotte H, Vico L, Lafage-Proust MH, Rousseau M.","JBMR Plus. 2022 Jul 15;6(9):e10655. doi: 10.1002/jbm4.10655. eCollection 2022 Sep.","Nguyen DK","JBMR Plus","2022","2022/09/16","PMC9464996","","10.1002/jbm4.10655"
"34999487","Using Statistical Shape and Appearance Modelling to characterise the 3D shape and material properties of human lumbar vertebrae: A proof of concept study","Day GA, Jones AC, Wilcox RK.","J Mech Behav Biomed Mater. 2022 Feb;126:105047. doi: 10.1016/j.jmbbm.2021.105047. Epub 2021 Dec 15.","Day GA","J Mech Behav Biomed Mater","2022","2022/01/09","","","10.1016/j.jmbbm.2021.105047"
"34882262","Comparison of deep learning-based emission-only attenuation correction methods for positron emission tomography","Hwang D, Kang SK, Kim KY, Choi H, Lee JS.","Eur J Nucl Med Mol Imaging. 2022 May;49(6):1833-1842. doi: 10.1007/s00259-021-05637-0. Epub 2021 Dec 9.","Hwang D","Eur J Nucl Med Mol Imaging","2022","2021/12/09","","","10.1007/s00259-021-05637-0"
"32580077","A virtual assessment of the suprainiac depressions on the Eyasi I (Tanzania) and Aduma ADU-VP-1/3 (Ethiopia) Pleistocene hominin crania","Bosman AM, Reyes-Centeno H, Harvati K.","J Hum Evol. 2020 Aug;145:102815. doi: 10.1016/j.jhevol.2020.102815. Epub 2020 Jun 21.","Bosman AM","J Hum Evol","2020","2020/06/25","","","10.1016/j.jhevol.2020.102815"
"37780057","Relationships Among Bone Morphological Parameters and Mechanical Properties of Cadaveric Human Vertebral Cancellous Bone","Al-Barghouthi A, Lee S, Solitro GF, Latta L, Travascio F.","JBMR Plus. 2020 Mar 12;4(5):e10351. doi: 10.1002/jbm4.10351. eCollection 2020 May.","Al-Barghouthi A","JBMR Plus","2020","2023/10/02","PMC10540741","","10.1002/jbm4.10351"
"32058080","Decoding rejuvenating effects of mechanical loading on skeletal aging using in vivo μCT imaging and deep learning","Asgharzadeh P, Röhrle O, Willie BM, Birkhold AI.","Acta Biomater. 2020 Apr 1;106:193-207. doi: 10.1016/j.actbio.2020.02.007. Epub 2020 Feb 11.","Asgharzadeh P","Acta Biomater","2020","2020/02/15","","","10.1016/j.actbio.2020.02.007"
"31917770","Intrinsic Measures and Shape Analysis of the Intratemporal Facial Nerve","Hudson TJ, Gare B, Allen DG, Ladak HM, Agrawal SK.","Otol Neurotol. 2020 Mar;41(3):e378-e386. doi: 10.1097/MAO.0000000000002552.","Hudson TJ","Otol Neurotol","2020","2020/01/10","","","10.1097/MAO.0000000000002552"
"31883141","Is variation in tail vertebral morphology linked to habitat use in chameleons?","Luger AM, Ollevier A, De Kegel B, Herrel A, Adriaens D.","J Morphol. 2020 Feb;281(2):229-239. doi: 10.1002/jmor.21093. Epub 2019 Dec 28.","Luger AM","J Morphol","2020","2019/12/29","","","10.1002/jmor.21093"
"30683763","Generation of PET Attenuation Map for Whole-Body Time-of-Flight (18)F-FDG PET/MRI Using a Deep Neural Network Trained with Simultaneously Reconstructed Activity and Attenuation Maps","Hwang D, Kang SK, Kim KY, Seo S, Paeng JC, Lee DS, Lee JS.","J Nucl Med. 2019 Aug;60(8):1183-1189. doi: 10.2967/jnumed.118.219493. Epub 2019 Jan 25.","Hwang D","J Nucl Med","2019","2019/01/27","PMC6681691","","10.2967/jnumed.118.219493"
"30184248","Flesh and bone: An integrative approach towards sexual size dimorphism of a terrestrial salamander (genus Salamandrina)","Pogoda P, Kupfer A.","J Morphol. 2018 Oct;279(10):1468-1479. doi: 10.1002/jmor.20883. Epub 2018 Sep 5.","Pogoda P","J Morphol","2018","2018/09/06","","","10.1002/jmor.20883"
"29758447","Experimental sharp force injuries to ribs: Multimodal morphological and geometric morphometric analyses using micro-CT, macro photography and SEM","Komo L, Grassberger M.","Forensic Sci Int. 2018 Jul;288:189-200. doi: 10.1016/j.forsciint.2018.04.048. Epub 2018 May 1.","Komo L","Forensic Sci Int","2018","2018/05/15","","","10.1016/j.forsciint.2018.04.048"
"29492335","MIA-Clustering: a novel method for segmentation of paleontological material","Dunmore CJ, Wollny G, Skinner MM.","PeerJ. 2018 Feb 23;6:e4374. doi: 10.7717/peerj.4374. eCollection 2018.","Dunmore CJ","PeerJ","2018","2018/03/02","PMC5826037","","10.7717/peerj.4374"
"29449446","Improving the Accuracy of Simultaneously Reconstructed Activity and Attenuation Maps Using Deep Learning","Hwang D, Kim KY, Kang SK, Seo S, Paeng JC, Lee DS, Lee JS.","J Nucl Med. 2018 Oct;59(10):1624-1629. doi: 10.2967/jnumed.117.202317. Epub 2018 Feb 15.","Hwang D","J Nucl Med","2018","2018/02/17","","","10.2967/jnumed.117.202317"
"21316489","Evaluation of 3-D bioactive glass scaffolds dissolution in a perfusion flow system with X-ray microtomography","Yue S, Lee PD, Poologasundarampillai G, Jones JR.","Acta Biomater. 2011 Jun;7(6):2637-43. doi: 10.1016/j.actbio.2011.02.009. Epub 2011 Feb 26.","Yue S","Acta Biomater","2011","2011/02/15","","","10.1016/j.actbio.2011.02.009"
